resource	entitiesCount	entitiesFound	entitiesRatio	entitiesPValue	entitiesFDR	interactorsCount	interactorsFound	interactorsRatio	entitiesAndInteractorsCount	entitiesAndInteractorsFound	reactionsCount	reactionsFound	reactionsRatio	path	entities	glycoPath	ctype
TOTAL	14	1	0.000951022349025202	0.0113527637445662	0.0352915229474211	34	0	0.00196499565873052	43	1	5	3	0.000377957517575025	Regulation of localization of FOXO transcription factors	FOXO1	sulfated_glycans	BRCA_1
TOTAL	16	1	0.00108688268460023	0.0129649072725369	0.0352915229474211	183	0	0.00868253895718137	190	1	9	3	0.000680323531635044	Regulation of FOXO transcriptional activity by acetylation	FOXO1	sulfated_glycans	BRCA_1
TOTAL	1263	4	0.0857958019156307	0.0152847315584632	0.0352915229474211	3128	0	0.184755289494128	4043	4	556	8	0.0420288759543427	Developmental Biology	EBF1;FOXO1;EBF1;FLI1	sulfated_glycans	BRCA_1
TOTAL	255	2	0.0173221927858162	0.0176457614737106	0.0352915229474211	230	0	0.0216149522460357	473	2	16	2	0.00120946405624008	Interferon gamma signaling	IRF4;IRF4	sulfated_glycans	BRCA_1
TOTAL	23	1	0.00156239385911283	0.0185884515077825	0.0371769030155651	175	0	0.00891102682447562	195	1	15	12	0.00113387255272507	FOXO-mediated transcription of cell death genes	FOXO1	sulfated_glycans	BRCA_1
TOTAL	27	1	0.00183411453026289	0.0217887037365464	0.0408515761077246	190	0	0.00982497829365261	215	1	22	18	0.00166301307733011	FOXO-mediated transcription of cell cycle genes	FOXO1	sulfated_glycans	BRCA_1
TOTAL	32	1	0.00217376536920046	0.0257755662797355	0.0408515761077246	291	0	0.0143033404926198	313	1	18	1	0.00136064706327009	Constitutive Signaling by AKT1 E17K in Cancer	FOXO1	sulfated_glycans	BRCA_1
TOTAL	35	1	0.00237755587256301	0.0281605285182615	0.0408515761077246	138	0	0.00776858748800439	170	1	12	3	0.000907098042180059	Regulation of gene expression in beta cells	FOXO1	sulfated_glycans	BRCA_1
TOTAL	49	1	0.00332857822158821	0.0392197489688165	0.0408515761077246	205	0	0.0113786957912535	249	1	34	29	0.00257011111951017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	FOXO1	sulfated_glycans	BRCA_1
TOTAL	401	2	0.0272399972827933	0.0408515761077246	0.0408515761077246	673	0	0.0472055933829914	1033	2	69	4	0.00521581374253534	Interferon Signaling	IRF4;IRF4	sulfated_glycans	BRCA_1
TOTAL	67	1	0.00455132124176347	0.0532692266470979	0.0532692266470979	161	0	0.0102362564547823	224	1	26	3	0.00196537909139013	Regulation of beta-cell development	FOXO1	sulfated_glycans	BRCA_1
TOTAL	71	1	0.00482304191291353	0.0563656450735903	0.0563656450735903	368	0	0.0195128638669287	427	1	27	2	0.00204097059490513	Transcriptional regulation of granulopoiesis	FLI1	sulfated_glycans	BRCA_1
TOTAL	106	1	0.00720059778547653	0.0830659847865886	0.0830659847865886	592	0	0.0308915596581822	676	1	40	3	0.0030236601406002	MAPK6/MAPK4 signaling	FOXO1	sulfated_glycans	BRCA_1
TOTAL	110	1	0.00747231845662659	0.0860729393193667	0.0860729393193667	633	0	0.0329936480372892	722	1	85	65	0.00642527779877542	FOXO-mediated transcription	FOXO1	sulfated_glycans	BRCA_1
TOTAL	191	4	0.0129746620474153	7.49632792643729e-05	0.00232386165719556	207	0	0.0176849609285747	387	4	22	2	0.00166301307733011	Interferon alpha/beta signaling	IRF5;IRF4;IRF5;IRF4	Terminal_Fucose	BRCA_1
TOTAL	255	4	0.0173221927858162	0.0002267858090782	0.00340178713617301	230	0	0.0216149522460357	473	4	16	2	0.00120946405624008	Interferon gamma signaling	IRF5;IRF4;IRF5;IRF4	Terminal_Fucose	BRCA_1
TOTAL	401	4	0.0272399972827933	0.00123999337620295	0.0123999337620295	673	0	0.0472055933829914	1033	4	69	4	0.00521581374253534	Interferon Signaling	IRF5;IRF4;IRF5;IRF4	Terminal_Fucose	BRCA_1
TOTAL	4	1	0.000271720671150058	0.00487969211955375	0.0341578448368762	0	0	0.000182790293835397	4	1	2	2	0.00015118300703001	RUNX3 regulates RUNX1-mediated transcription	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	6	1	0.000407581006725087	0.00731109657827556	0.0364712501115411	47	0	0.00228487867294247	50	1	2	2	0.00015118300703001	RUNX3 regulates BCL2L11 (BIM) transcription	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	8	1	0.000543441342300116	0.00973688959843133	0.0364712501115411	70	0	0.0035187131563314	77	1	6	6	0.000453549021090029	RUNX3 regulates CDKN1A transcription	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	9	1	0.00061137151008763	0.0109476856295464	0.0364712501115411	11	0	0.000913951469176987	20	1	3	2	0.000226774510545015	RUNX3 regulates YAP1-mediated transcription	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	10	1	0.000679301677875144	0.0121570833705137	0.0364712501115411	9	0	0.000868253895718137	19	1	5	5	0.000377957517575025	RUNX3 Regulates Immune Response and Cell Migration	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	10	1	0.000679301677875144	0.0121570833705137	0.0364712501115411	160	0	0.00758579719416899	166	1	5	3	0.000377957517575025	RUNX3 regulates WNT signaling	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	10	1	0.000679301677875144	0.0121570833705137	0.0364712501115411	176	0	0.00845405108988713	185	1	4	1	0.00030236601406002	Binding of TCF/LEF:CTNNB1 to target gene promoters	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	16	1	0.00108688268460023	0.0193841907310623	0.0387683814621247	99	0	0.00516382580084998	113	1	8	8	0.000604732028120039	RUNX3 regulates p14-ARF	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	16	1	0.00108688268460023	0.0193841907310623	0.0387683814621247	11	0	0.00114243933647123	25	1	7	5	0.000529140524605034	RUNX3 regulates NOTCH signaling	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	216	2	0.0146729162421031	0.0281876685178717	0.0547768493501992	153	0	0.0163140337248092	357	2	47	1	0.00355280066520523	Interleukin-4 and Interleukin-13 signaling	IRF4;IRF4	Terminal_Fucose	BRCA_1
TOTAL	1108	4	0.075266625908566	0.0418469585942988	0.0547768493501992	2824	0	0.165288123200658	3617	4	687	5	0.0519313629148084	Cytokine Signaling in Immune system	IRF5;IRF4;IRF5;IRF4	Terminal_Fucose	BRCA_1
TOTAL	43	1	0.00292099721486312	0.0512926353753381	0.0547768493501992	137	0	0.00799707535529863	175	1	28	1	0.00211656209842014	G1/S-Specific Transcription	E2F6	Terminal_Fucose	BRCA_1
TOTAL	46	1	0.00312478771822566	0.0547768493501992	0.0547768493501992	386	0	0.0185989123977517	407	1	33	31	0.00249451961599516	Transcriptional Regulation by E2F6	E2F6	Terminal_Fucose	BRCA_1
TOTAL	57	1	0.00387201956388832	0.0674491837328617	0.0674491837328617	148	0	0.00923090983868757	202	1	9	9	0.000680323531635044	Regulation of RUNX3 expression and activity	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	67	1	0.00455132124176347	0.0788300947902274	0.0788300947902274	753	0	0.0364209660467029	797	1	13	1	0.000982689545695064	Formation of the beta-catenin:TCF transactivating complex	RUNX3	Terminal_Fucose	BRCA_1
TOTAL	4	2	0.000271720671150058	2.77774324500824e-05	0.00266663351520791	208	0	0.00964218799981721	211	2	5	4	0.000377957517575025	Regulation of TP53 Expression	PRDM1;PRDM1	Type_1_2_LacNAc	BRCA_1
TOTAL	56	3	0.00380408939610081	0.000167937016945174	0.00806097681336837	327	0	0.0170451949001508	373	3	37	12	0.00279688563005518	NGF-stimulated transcription	FOS;EGR2;EGR2	Type_1_2_LacNAc	BRCA_1
TOTAL	80	3	0.00543441342300115	0.000474903563694729	0.0151969140382313	350	0	0.019101585705799	418	3	48	12	0.00362839216872024	Nuclear Events (kinase and transcription factor activation)	FOS;EGR2;EGR2	Type_1_2_LacNAc	BRCA_1
TOTAL	29	2	0.00196997486583792	0.00141776574495867	0.034026377879008	208	0	0.0105104418955353	230	2	12	2	0.000907098042180059	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	FOS;FOS	Type_1_2_LacNAc	BRCA_1
TOTAL	143	3	0.00971401399361456	0.00250393314500341	0.040547210160387	696	0	0.0369236393547503	808	3	102	12	0.0077103333585305	Signaling by NTRK1 (TRKA)	FOS;EGR2;EGR2	Type_1_2_LacNAc	BRCA_1
TOTAL	39	2	0.00264927654371306	0.00253420063502419	0.040547210160387	179	0	0.00982497829365261	215	2	26	19	0.00196537909139013	EGR2 and SOX10-mediated initiation of Schwann cell myelination	EGR2;EGR2	Type_1_2_LacNAc	BRCA_1
TOTAL	46	2	0.00312478771822566	0.0034967352918206	0.0454575587936678	501	0	0.0244938993739432	536	2	35	4	0.00264570262302517	Regulation of TP53 Expression and Degradation	PRDM1;PRDM1	Type_1_2_LacNAc	BRCA_1
TOTAL	166	3	0.0112764078527274	0.00380436974547238	0.0456524369456686	925	0	0.0479824521317918	1050	3	164	12	0.0123970065764608	Signaling by NTRKs	FOS;EGR2;EGR2	Type_1_2_LacNAc	BRCA_1
TOTAL	9	1	0.00061137151008763	0.0169778610503369	0.0903004999482491	271	0	0.0127953205684778	280	1	21	4	0.0015874215738151	CREB3 factors activate genes	CREB3L4	Type_1_2_LacNAc	BRCA_1
TOTAL	110	2	0.00747231845662659	0.0185548634762651	0.0903004999482491	367	0	0.0210208837910707	460	2	38	2	0.00287247713357019	Extra-nuclear estrogen signaling	FOS;FOS	Type_1_2_LacNAc	BRCA_1
TOTAL	12	1	0.000815162013450173	0.0225751249870623	0.0903004999482491	156	0	0.00740300690033359	162	1	5	2	0.000377957517575025	Activation of the AP-1 family of transcription factors	FOS	Type_1_2_LacNAc	BRCA_1
TOTAL	2	2	0.000135860335575029	5.0842761215586e-06	0.000137275455282082	0	0	9.13951469176987e-05	2	2	1	1	7.55915035150049e-05	Loss of MECP2 binding ability to 5hmC-DNA	MECP2	HS_Extend	BRCA_1
TOTAL	100	4	0.00679301677875144	2.0295160578776e-05	0.000365312890417968	1159	0	0.057030571676644	1248	4	77	73	0.00582054577065538	Transcriptional Regulation by MECP2	MECP2;MECP2	HS_Extend	BRCA_1
TOTAL	5	2	0.000339650838937572	3.16819136557678e-05	0.000411864877524981	0	0	0.000228487867294247	5	2	2	2	0.00015118300703001	Loss of MECP2 binding ability to 5mC-DNA	MECP2	HS_Extend	BRCA_1
TOTAL	6	2	0.000407581006725087	4.55765431420785e-05	0.000455765431420785	45	0	0.00233057624640132	51	2	4	4	0.00030236601406002	MECP2 regulates transcription of genes involved in GABA signaling	MECP2	HS_Extend	BRCA_1
TOTAL	7	2	0.000475511174512601	6.19729938782232e-05	0.000557756944904009	0	0	0.000319883014211945	7	2	1	1	7.55915035150049e-05	Loss of phosphorylation of MECP2 at T308	MECP2	HS_Extend	BRCA_1
TOTAL	8	2	0.000543441342300116	8.08637577115467e-05	0.000566046303980827	0	0	0.000365580587670795	8	2	1	1	7.55915035150049e-05	Loss of MECP2 binding ability to the NCoR/SMRT complex	MECP2	HS_Extend	BRCA_1
TOTAL	10	2	0.000679301677875144	0.000126098272459241	0.000756589634755445	47	0	0.00251336654023671	55	2	8	8	0.000604732028120039	MECP2 regulates transcription factors	MECP2	HS_Extend	BRCA_1
TOTAL	13	2	0.000883092181237688	0.00021247061236962	0.00127482367421772	12	0	0.00114243933647123	25	2	8	8	0.000604732028120039	MECP2 regulates transcription of neuronal ligands	MECP2	HS_Extend	BRCA_1
TOTAL	16	2	0.00108688268460023	0.000320889456430162	0.00128355782572065	0	0	0.000731161175341589	16	2	5	5	0.000377957517575025	Disorders of Nervous System Development	MECP2	HS_Extend	BRCA_1
TOTAL	16	2	0.00108688268460023	0.000320889456430162	0.00128355782572065	0	0	0.000731161175341589	16	2	5	5	0.000377957517575025	Loss of function of MECP2 in Rett syndrome	MECP2	HS_Extend	BRCA_1
TOTAL	16	2	0.00108688268460023	0.000320889456430162	0.00128355782572065	0	0	0.000731161175341589	16	2	5	5	0.000377957517575025	Disorders of Developmental Biology	MECP2	HS_Extend	BRCA_1
TOTAL	16	2	0.00108688268460023	0.000320889456430162	0.00128355782572065	0	0	0.000731161175341589	16	2	5	5	0.000377957517575025	Pervasive developmental disorders	MECP2	HS_Extend	BRCA_1
TOTAL	32	2	0.00217376536920046	0.00126329478791931	0.00378988436375793	113	0	0.00653475300461545	143	2	26	26	0.00196537909139013	MECP2 regulates neuronal receptors and channels	MECP2	HS_Extend	BRCA_1
TOTAL	3	1	0.000203790503362543	0.00487952675546743	0.0146385802664023	35	0	0.00159941507105973	35	1	1	1	7.55915035150049e-05	SMAD2/3 MH2 Domain Mutants in Cancer	SMAD4	HS_Extend	BRCA_1
TOTAL	3	1	0.000203790503362543	0.00487952675546743	0.0146385802664023	0	0	0.000137092720376548	3	1	1	1	7.55915035150049e-05	Loss of Function of SMAD4 in Cancer	SMAD4	HS_Extend	BRCA_1
TOTAL	3	1	0.000203790503362543	0.00487952675546743	0.0146385802664023	0	0	0.000137092720376548	3	1	1	1	7.55915035150049e-05	SMAD4 MH2 Domain Mutants in Cancer	SMAD4	HS_Extend	BRCA_1
TOTAL	6	1	0.000407581006725087	0.00973623116174327	0.0259228109315275	47	0	0.00228487867294247	50	1	2	2	0.00015118300703001	RUNX3 regulates BCL2L11 (BIM) transcription	SMAD4	HS_Extend	BRCA_1
TOTAL	8	1	0.000543441342300116	0.0129614054657637	0.0259228109315275	70	0	0.0035187131563314	77	1	6	3	0.000453549021090029	RUNX3 regulates CDKN1A transcription	SMAD4	HS_Extend	BRCA_1
TOTAL	8	1	0.000543441342300116	0.0129614054657637	0.0259228109315275	35	0	0.00182790293835397	40	1	2	1	0.00015118300703001	Loss of Function of SMAD2/3 in Cancer	SMAD4	HS_Extend	BRCA_1
TOTAL	9	1	0.00061137151008763	0.0145702153424411	0.0291404306848821	35	0	0.00187360051181282	41	1	7	2	0.000529140524605034	Signaling by TGF-beta Receptor Complex in Cancer	SMAD4	HS_Extend	BRCA_1
TOTAL	15	1	0.00101895251681272	0.0241704293419042	0.0483408586838083	103	0	0.00525522094776767	115	1	10	3	0.000755915035150049	Signaling by Activin	SMAD4	HS_Extend	BRCA_1
TOTAL	23	1	0.00156239385911283	0.0368313724861078	0.057070298650381	114	0	0.00607777727002696	133	1	12	4	0.000907098042180059	Signaling by NODAL	SMAD4	HS_Extend	BRCA_1
TOTAL	27	1	0.00183411453026289	0.0431026598625738	0.057070298650381	239	0	0.0116528812320066	255	1	21	19	0.0015874215738151	Downregulation of SMAD2/3:SMAD4 transcriptional activity	SMAD4	HS_Extend	BRCA_1
TOTAL	27	1	0.00183411453026289	0.0431026598625738	0.057070298650381	190	0	0.00982497829365261	215	1	22	6	0.00166301307733011	FOXO-mediated transcription of cell cycle genes	SMAD4	HS_Extend	BRCA_1
TOTAL	30	1	0.00203790503362543	0.0477804254999105	0.057070298650381	49	0	0.00338162043595485	74	1	17	4	0.00128505555975508	Signaling by BMP	SMAD4	HS_Extend	BRCA_1
TOTAL	36	1	0.00244548604035052	0.057070298650381	0.057070298650381	346	0	0.0169537997532331	371	1	39	1	0.00294806863708519	TGF-beta receptor signaling activates SMADs	SMAD4	HS_Extend	BRCA_1
TOTAL	39	1	0.00264927654371306	0.0616826022636312	0.0616826022636312	400	0	0.0196042590138464	429	1	17	13	0.00128505555975508	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	SMAD4	HS_Extend	BRCA_1
TOTAL	43	1	0.00292099721486312	0.0677987178779216	0.0677987178779216	278	0	0.0143490380660787	314	1	32	3	0.00241892811248016	RUNX2 regulates bone development	SMAD4	HS_Extend	BRCA_1
TOTAL	45	1	0.00305685755043815	0.0708424306725661	0.0708424306725661	231	0	0.012429739980807	272	1	35	4	0.00264570262302517	Transcriptional regulation of pluripotent stem cells	SMAD4	HS_Extend	BRCA_1
TOTAL	49	1	0.00332857822158821	0.0769013092284559	0.0769013092284559	205	0	0.0113786957912535	249	1	34	2	0.00257011111951017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	SMAD4	HS_Extend	BRCA_1
TOTAL	55	1	0.00373615922831329	0.0859186860058135	0.0859186860058135	574	0	0.0277841246629804	608	1	38	32	0.00287247713357019	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	SMAD4	HS_Extend	BRCA_1
TOTAL	118	5	0.0080157597989267	1.51815854334547e-05	0.00212542196068366	415	0	0.0231686697436366	507	5	47	7	0.00355280066520523	Transcriptional regulation by RUNX3	RUNX1;YAP1;RUNX1;TEAD1	CS_DS_Extend	BRCA_1
TOTAL	4	2	0.000271720671150058	5.43442569210795e-05	0.00380409798447556	0	0	0.000182790293835397	4	2	2	2	0.00015118300703001	RUNX3 regulates RUNX1-mediated transcription	RUNX1	CS_DS_Extend	BRCA_1
TOTAL	9	2	0.00061137151008763	0.000272824838261743	0.0117690205977761	11	0	0.000913951469176987	20	2	3	3	0.000226774510545015	RUNX3 regulates YAP1-mediated transcription	YAP1;TEAD1	CS_DS_Extend	BRCA_1
TOTAL	10	2	0.000679301677875144	0.000336257731365031	0.0117690205977761	47	0	0.00251336654023671	55	2	8	2	0.000604732028120039	MECP2 regulates transcription factors	MEF2C;MEF2C	CS_DS_Extend	BRCA_1
TOTAL	18	2	0.00122274302017526	0.00107500035345531	0.0301000098967488	141	0	0.0069460311657451	152	2	9	6	0.000680323531635044	YAP1- and WWTR1 (TAZ)-stimulated gene expression	YAP1;TEAD1	CS_DS_Extend	BRCA_1
TOTAL	32	2	0.00217376536920046	0.00331906977872176	0.0763386049106005	148	0	0.00799707535529863	175	2	19	18	0.00143623856678509	Regulation of RUNX1 Expression and Activity	RUNX1;RUNX1	CS_DS_Extend	BRCA_1
TOTAL	39	2	0.00264927654371306	0.0048728238985748	0.0974564779714959	179	0	0.00982497829365261	215	2	26	2	0.00196537909139013	EGR2 and SOX10-mediated initiation of Schwann cell myelination	YAP1;TEAD1	CS_DS_Extend	BRCA_1
TOTAL	23	2	0.00156239385911283	0.000133006389916424	0.00159607667899708	10	0	0.00150801992414203	33	2	2	2	0.00015118300703001	RNA Polymerase III Transcription Termination	NFIC;POLR3A	N_linked_branching	BRCA_1
TOTAL	46	2	0.00312478771822566	0.000527061496722103	0.00210824598688841	10	0	0.00255906411369556	56	2	13	13	0.000982689545695064	RNA Polymerase III Abortive And Retractive Initiation	NFIC;POLR3A	N_linked_branching	BRCA_1
TOTAL	46	2	0.00312478771822566	0.000527061496722103	0.00210824598688841	33	0	0.0036101083032491	79	2	25	18	0.00188978758787512	RNA Polymerase III Transcription	NFIC;POLR3A	N_linked_branching	BRCA_1
TOTAL	22	1	0.00149446369132532	0.016316811498729	0.0207246451917695	0	0	0.00100534661609469	22	1	3	3	0.000226774510545015	RNA Polymerase III Chain Elongation	POLR3A	N_linked_branching	BRCA_1
TOTAL	27	1	0.00183411453026289	0.0199912554583979	0.0207246451917695	0	0	0.00123383448338893	27	1	4	2	0.00030236601406002	RNA Polymerase III Transcription Initiation From Type 2 Promoter	POLR3A	N_linked_branching	BRCA_1
TOTAL	28	1	0.0019020446980504	0.0207246451917695	0.0207246451917695	23	0	0.00233057624640132	51	1	4	2	0.00030236601406002	RNA Polymerase III Transcription Initiation From Type 3 Promoter	POLR3A	N_linked_branching	BRCA_1
TOTAL	28	1	0.0019020446980504	0.0207246451917695	0.0207246451917695	0	0	0.00127953205684778	28	1	5	2	0.000377957517575025	RNA Polymerase III Transcription Initiation From Type 1 Promoter	POLR3A	N_linked_branching	BRCA_1
TOTAL	36	1	0.00244548604035052	0.0265738256963761	0.0265738256963761	23	0	0.00269615683407211	59	1	13	6	0.000982689545695064	RNA Polymerase III Transcription Initiation	POLR3A	N_linked_branching	BRCA_1
TOTAL	78	1	0.00529855308742613	0.0567642638059931	0.0567642638059931	369	0	0.0196042590138464	429	1	49	1	0.00370398367223524	Cytosolic sensors of pathogen-associated DNA 	POLR3A	N_linked_branching	BRCA_1
TOTAL	29	2	0.00196997486583792	0.000648974553225545	0.0564607861306224	208	0	0.0105104418955353	230	2	12	2	0.000907098042180059	Estrogen-dependent nuclear events downstream of ESR-membrane signaling	FOS;FOS	P1PK_BloodGroup	BRCA_1
TOTAL	110	2	0.00747231845662659	0.00877449489245363	0.0922498427125638	367	0	0.0210208837910707	460	2	38	2	0.00287247713357019	Extra-nuclear estrogen signaling	FOS;FOS	P1PK_BloodGroup	BRCA_1
TOTAL	9	1	0.00061137151008763	0.0115523640365387	0.0922498427125638	271	0	0.0127953205684778	280	1	21	4	0.0015874215738151	CREB3 factors activate genes	CREB3L4	P1PK_BloodGroup	BRCA_1
TOTAL	12	1	0.000815162013450173	0.0153749737854273	0.0922498427125638	156	0	0.00740300690033359	162	1	5	2	0.000377957517575025	Activation of the AP-1 family of transcription factors	FOS	P1PK_BloodGroup	BRCA_1
TOTAL	9	1	0.00061137151008763	0.00670456663816665	0.0670456663816665	271	0	0.0127953205684778	280	1	21	4	0.0015874215738151	CREB3 factors activate genes	CREB3L4	GSL_Core	BRCA_1
TOTAL	2	1	0.000135860335575029	0.00420309867997448	0.0210154933998724	85	0	0.00388429374400219	85	1	2	2	0.00015118300703001	Defective Inhibition of DNA Recombination at Telomere	ATRX	GPI_Anchor	BRCA_2
TOTAL	2	1	0.000135860335575029	0.00420309867997448	0.0210154933998724	85	0	0.00388429374400219	85	1	2	2	0.00015118300703001	Diseases of Telomere Maintenance	ATRX	GPI_Anchor	BRCA_2
TOTAL	2	1	0.000135860335575029	0.00420309867997448	0.0210154933998724	81	0	0.00374720102362565	82	1	1	1	7.55915035150049e-05	Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations	ATRX	GPI_Anchor	BRCA_2
TOTAL	2	1	0.000135860335575029	0.00420309867997448	0.0210154933998724	4	0	0.000228487867294247	5	1	1	1	7.55915035150049e-05	Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations	ATRX	GPI_Anchor	BRCA_2
TOTAL	2	1	0.000135860335575029	0.00420309867997448	0.0210154933998724	85	0	0.00388429374400219	85	1	2	2	0.00015118300703001	Alternative Lengthening of Telomeres (ALT)	ATRX	GPI_Anchor	BRCA_2
TOTAL	87	2	0.00590992459751376	0.0144958681253119	0.0563392025277798	257	0	0.015171594388338	332	2	32	16	0.00241892811248016	Transcriptional activation of mitochondrial biogenesis	GABPA;GABPA	GPI_Anchor	BRCA_2
TOTAL	9	1	0.00061137151008763	0.0187797341759266	0.0563392025277798	271	0	0.0127953205684778	280	1	21	5	0.0015874215738151	CREB3 factors activate genes	CREB3	GPI_Anchor	BRCA_2
TOTAL	127	2	0.00862713130901433	0.0293281839657822	0.0879845518973466	391	0	0.0228487867294247	500	2	36	16	0.00272129412654018	Mitochondrial biogenesis	GABPA;GABPA	GPI_Anchor	BRCA_2
TOTAL	4	1	0.000271720671150058	0.00271388667222161	0.0203168671954628	0	0	0.000182790293835397	4	1	2	2	0.00015118300703001	RUNX3 regulates RUNX1-mediated transcription	RUNX3	Terminal_Fucose	BRCA_2
TOTAL	6	1	0.000407581006725087	0.00406834268398593	0.0203168671954628	47	0	0.00228487867294247	50	1	2	2	0.00015118300703001	RUNX3 regulates BCL2L11 (BIM) transcription	RUNX3	Terminal_Fucose	BRCA_2
TOTAL	8	1	0.000543441342300116	0.00542114288177908	0.0203168671954628	70	0	0.0035187131563314	77	1	6	6	0.000453549021090029	RUNX3 regulates CDKN1A transcription	RUNX3	Terminal_Fucose	BRCA_2
TOTAL	9	1	0.00061137151008763	0.00609692261286376	0.0203168671954628	11	0	0.000913951469176987	20	1	3	2	0.000226774510545015	RUNX3 regulates YAP1-mediated transcription	RUNX3	Terminal_Fucose	BRCA_2
TOTAL	10	1	0.000679301677875144	0.00677228906515426	0.0203168671954628	9	0	0.000868253895718137	19	1	5	5	0.000377957517575025	RUNX3 Regulates Immune Response and Cell Migration	RUNX3	Terminal_Fucose	BRCA_2
